,Y,S,Noise,Denoised
4067,0.39401826532474016,5.235494913286903e-16,0.36391338682715424,0.0029821483329730103
4068,0.39385703503209574,5.23523938027337e-16,0.36381261157831046,0.0029808392683613526
4069,0.39376584703769824,5.235073238341123e-16,0.36364532203508915,0.0029800989438573686
4070,0.39365316254403376,5.234726437833414e-16,0.3635307222181871,0.0029791841475305613
4071,0.39363342877487423,5.234388237515786e-16,0.36346350152633844,0.0029790239504570827
4072,0.3933382131907275,5.233575180307617e-16,0.36335712221600136,0.0029766276214591852
4073,0.3932442941161693,5.233267675569854e-16,0.3630950681352202,0.002975865340959772
4074,0.3930980371571194,5.233241540391773e-16,0.36304133044675585,0.002974678345466833
4075,0.3929546787968126,5.232257786916356e-16,0.3629689853755322,0.0029735149664360575
4076,0.3927449250246955,5.232227160402104e-16,0.36264241866969493,0.0029718129405693627
4077,0.3925189205522504,5.231956777759897e-16,0.36262799687864067,0.0029699792678813987
4078,0.39224530466739416,5.231839809535942e-16,0.36242531708731146,0.0029677596052335303
4079,0.3921279366250027,5.231317879628777e-16,0.36234347455843574,0.0029668075781756763
4080,0.39195216549767986,5.230417890402982e-16,0.3621311856705984,0.00296538193013239
4081,0.39187007173960897,5.230038915707787e-16,0.36200837158364296,0.002964716129116976
4082,0.39178467521457155,5.229679299064562e-16,0.3619128269148165,0.0029640235733782603
4083,0.3915817260769124,5.22953920816323e-16,0.36175741994749594,0.0029623778088498525
4084,0.39147984029236005,5.228298916003951e-16,0.36166532686937697,0.0029615516603841447
4085,0.39130289117712497,5.227911548088091e-16,0.36149239887995743,0.0029601169639947847
4086,0.39098812204058103,5.227032726218935e-16,0.3614025352151242,0.002957565169056278
4087,0.3907567793395685,5.226191259179424e-16,0.3611253143824125,0.002955689979918117
4088,0.39068766973619157,5.225310789191461e-16,0.3610240257002554,0.0029551298454565957
4089,0.3905247026478306,5.225282715039716e-16,0.3609300749408709,0.0029538090776382486
4090,0.3903147456699261,5.225249331219505e-16,0.36086487755668784,0.0029521076518829125
4091,0.3902242546499897,5.224793431916818e-16,0.36062172976242096,0.00295137440059623
4092,0.3899332761774412,5.223766714724698e-16,0.360460232973012,0.0029490168372749
4093,0.3898463549171478,5.223464108910672e-16,0.36023860770423244,0.0029483126565790865
4094,0.3897247425796391,5.223418695358455e-16,0.3601845971807901,0.0029473274864313848
4095,0.3894544064393005,5.223262531548356e-16,0.3600900354914565,0.0029451377507145955
4096,0.38938037370110734,5.222587863732076e-16,0.35985640145795617,0.002944538137778226
4097,0.3891965859994882,5.2223212869597e-16,0.3597618090337093,0.002943049690734284
4098,0.38900605943629046,5.221873724604979e-16,0.35972492822034996,0.0029415068233839587
4099,0.38875812760851414,5.221770571356911e-16,0.35948808894128614,0.002939499330748602
4100,0.3887342911106717,5.221719573608237e-16,0.35939431648264736,0.0029393063418645007
4101,0.38860890138008214,5.221642611225725e-16,0.35912563938227343,0.002938291182220111
4102,0.3883995712891211,5.220817499893051e-16,0.35899680800257805,0.0029365965913553636
4103,0.3881387038397683,5.220639547861377e-16,0.3588764719461832,0.0029344850573135794
4104,0.38788969301031456,5.2196674538921645e-16,0.3587284190200797,0.0029324697706767456
4105,0.38784044864183437,5.21962518283654e-16,0.3586136373351929,0.0029320712596762636
4106,0.38759976830410636,5.219575561343558e-16,0.3585023832210374,0.0029301237012462466
4107,0.38755383424139545,5.217510950173256e-16,0.35834340237474765,0.002929752036574922
4108,0.3874442786544455,5.217338052624936e-16,0.35819775133565135,0.002928865630331336
4109,0.3871091107326102,5.217316833070469e-16,0.3581452131841213,0.0029261541350877845
4110,0.38692928332081905,5.216656890757066e-16,0.35788012546564196,0.0029246995395387832
4111,0.38672259725170605,5.21639123975377e-16,0.35769604962610013,0.0029230278618878076
4112,0.386679565777805,5.21631568272776e-16,0.3575701944257712,0.002922679846481207
4113,0.38641481556672297,5.214531924484931e-16,0.3574264010503189,0.0029205388658507104
4114,0.3862453820527676,5.213696168745014e-16,0.35720205856135745,0.0029191688511610203
4115,0.3860678891341717,5.213524968489354e-16,0.3571000297165785,0.0029177338026084017
4116,0.3859861129048255,5.213452562011021e-16,0.3569321112532105,0.0029170726792387474
4117,0.38591806045738103,5.213017009427888e-16,0.3568071550436568,0.0029165225284171793
4118,0.3856509147454134,5.212976798596857e-16,0.3567451236274835,0.00291436305784715
4119,0.3856116767035393,5.212819258321877e-16,0.35647629689379484,0.0029140459033814505
4120,0.3853488560933566,5.212772028275107e-16,0.35628905958875573,0.002911921740231307
4121,0.3851275662286399,5.212096276366575e-16,0.3562244458773765,0.002910133467235164
4122,0.38496236866699196,5.211548885418803e-16,0.35607448650508894,0.00290879862136074
4123,0.3847866337342018,5.211528559528798e-16,0.35588417993460686,0.002907378759518641
4124,0.3846772349047316,5.2103347169564e-16,0.3557842530020313,0.002906494931754595
4125,0.38457438328547033,5.209965660658919e-16,0.3556707326378149,0.0029056640455954862
4126,0.38431409813122897,5.209733600424129e-16,0.35560042702753325,0.0029035615370670534
4127,0.38418150762858566,5.209509351582653e-16,0.3554090640733586,0.002902490621232206
4128,0.38409861146115415,5.208570149153724e-16,0.355255482100746,0.0029018211183339396
4129,0.3837188029089794,5.208152770735773e-16,0.35516185360962504,0.0028987540088315496
4130,0.38356247093990725,5.207883489092329e-16,0.35497707060659667,0.0028974917441758072
4131,0.38346290941383687,5.20774319103465e-16,0.35488714394306214,0.0028966879133930207
4132,0.3834486722532314,5.207095720404791e-16,0.35470245336753425,0.0028965729701779363
4133,0.38316086194862475,5.206966307096979e-16,0.35461654615917043,0.0028942495302051213
4134,0.3829246737570687,5.20504242224297e-16,0.3545434396041522,0.0028923430913191895
